listid,sellerid,eventid,dateid,numtickets,priceperticket,totalprice,listtime
16626,44976,3006,1897,1,47.0,47.0,2008-03-12 10:29:46
16627,14389,7255,2161,1,24.0,24.0,2008-12-01 10:47:15
16628,39747,3372,2151,24,45.0,1080.0,2008-11-21 06:54:34
16630,33820,638,1885,14,135.0,1890.0,2008-02-28 03:42:56
16631,31413,6965,1850,12,60.0,720.0,2008-01-24 02:17:26
16632,5949,1760,2050,26,46.0,1196.0,2008-08-12 03:19:32
16633,8431,3702,2045,20,105.0,2100.0,2008-08-07 06:03:13
16634,3236,5467,2061,7,105.0,735.0,2008-08-23 11:55:59
16635,18966,595,2099,26,224.0,5824.0,2008-09-30 05:09:56
16636,39423,6998,2090,6,135.0,810.0,2008-09-21 04:24:04
16637,22186,95,1844,22,53.0,1166.0,2008-01-18 05:07:27
16638,12615,616,2031,24,68.0,1632.0,2008-07-24 03:25:38
16639,32179,6651,1986,16,71.0,1136.0,2008-06-09 11:55:05
16640,15886,7176,1876,12,144.0,1728.0,2008-02-19 09:13:56
16642,38501,2888,2124,22,48.0,1056.0,2008-10-25 04:43:26
16643,28,3770,1953,2,106.0,212.0,2008-05-07 03:31:38
16646,35341,6022,1986,3,148.0,444.0,2008-06-09 08:37:30
16647,7599,2631,2063,16,247.0,3952.0,2008-08-25 02:36:28
16648,6453,7179,1932,3,100.0,300.0,2008-04-16 02:24:11
16649,14306,312,2135,16,62.0,992.0,2008-11-05 05:37:19
16650,609,7472,1921,2,140.0,280.0,2008-04-05 04:22:32
16651,8568,607,2070,24,122.0,2928.0,2008-09-01 12:16:27
16652,6649,4184,2044,7,103.0,721.0,2008-08-06 10:09:38
16653,19878,516,2092,4,115.0,460.0,2008-09-23 03:26:35
16654,5452,3354,2135,18,125.0,2250.0,2008-11-05 01:40:40
16655,30893,4236,2092,8,160.0,1280.0,2008-09-23 04:37:39
16656,35807,6280,1887,7,193.0,1351.0,2008-03-02 03:21:33
16657,35051,1126,1905,28,80.0,2240.0,2008-03-20 09:17:55
16658,8067,1254,1876,6,82.0,492.0,2008-02-19 05:22:50
16659,121,5409,1949,12,162.0,1944.0,2008-05-03 01:37:10
16660,6712,8761,1991,6,171.0,1026.0,2008-06-14 08:56:57
16661,13290,6111,2064,26,123.0,3198.0,2008-08-26 07:29:59
16662,25413,5879,2078,6,95.0,570.0,2008-09-09 10:59:11
16663,19818,3192,1871,20,83.0,1660.0,2008-02-14 04:30:56
16664,44951,2096,1891,26,34.0,884.0,2008-03-06 04:50:29
16665,23562,7050,2026,12,200.0,2400.0,2008-07-19 10:01:49
16666,954,7861,2116,22,245.0,5390.0,2008-10-17 09:37:59
16667,30333,3782,1919,16,184.0,2944.0,2008-04-03 06:29:19
16668,19799,5439,2085,16,136.0,2176.0,2008-09-16 02:18:12
16669,38954,1131,2176,22,164.0,3608.0,2008-12-16 06:50:54
16671,44798,2222,2090,7,39.0,273.0,2008-09-21 04:00:09
16672,16766,72,2064,16,192.0,3072.0,2008-08-26 08:09:33
16673,2231,1775,2111,24,224.0,5376.0,2008-10-12 07:05:16
16674,31323,3673,2016,28,93.0,2604.0,2008-07-09 12:37:09
16675,43769,702,2125,12,242.0,2904.0,2008-10-26 01:54:53
16677,16051,4878,2095,6,197.0,1182.0,2008-09-26 02:32:29
16678,42358,4309,1914,6,210.0,1260.0,2008-03-29 05:16:42
16679,22915,6221,1933,4,189.0,756.0,2008-04-17 11:44:57
16680,27070,1477,1895,8,190.0,1520.0,2008-03-10 09:40:29
16681,26016,458,2146,18,205.0,3690.0,2008-11-16 06:53:57
16683,20729,7388,1981,24,44.0,1056.0,2008-06-04 07:19:39
16684,5661,194,2116,14,74.0,1036.0,2008-10-17 12:09:47
16685,48038,5605,2071,22,241.0,5302.0,2008-09-02 11:17:12
16686,1890,5063,1900,9,39.0,351.0,2008-03-15 02:39:01
16687,14143,4831,1850,6,167.0,1002.0,2008-01-24 10:19:08
16688,6019,2528,1989,20,120.0,2400.0,2008-06-12 10:37:30
16689,34889,6577,2101,22,144.0,3168.0,2008-10-02 10:13:30
16690,33553,8115,1871,22,247.0,5434.0,2008-02-14 01:50:53
16691,36468,7341,1882,16,186.0,2976.0,2008-02-25 04:40:19
16692,25596,194,2124,10,152.0,1520.0,2008-10-25 10:16:04
16693,36579,940,2158,5,48.0,240.0,2008-11-28 06:33:35
16694,12639,6789,2104,22,150.0,3300.0,2008-10-05 05:06:01
16695,10946,1582,2121,16,94.0,1504.0,2008-10-22 09:09:06
16696,5890,4622,1952,3,57.0,171.0,2008-05-06 03:21:56
16697,37709,5351,1977,24,48.0,1152.0,2008-05-31 03:03:52
16698,48480,8275,2091,7,34.0,238.0,2008-09-22 01:12:11
16700,39043,1501,2049,22,124.0,2728.0,2008-08-11 07:44:53
16701,40643,4672,1864,22,21.0,462.0,2008-02-07 10:35:13
16702,40858,4867,1845,12,144.0,1728.0,2008-01-19 01:33:47
16703,45947,5209,1975,28,186.0,5208.0,2008-05-29 03:00:24
16704,14275,8433,2081,8,38.0,304.0,2008-09-12 10:21:09
16705,13853,3377,1941,22,240.0,5280.0,2008-04-25 12:13:36
16706,2637,6636,1892,10,117.0,1170.0,2008-03-07 11:35:56
16707,30621,7156,2095,30,76.0,2280.0,2008-09-26 11:18:21
16708,31874,2882,2007,2,191.0,382.0,2008-06-30 01:09:27
16709,22881,3049,1996,10,101.0,1010.0,2008-06-19 07:18:31
16710,49963,8086,2126,5,63.0,315.0,2008-10-27 11:56:19
16712,31321,2591,1929,20,53.0,1060.0,2008-04-13 11:21:23
16713,10581,882,1957,12,154.0,1848.0,2008-05-11 02:30:47
16714,41608,2200,2099,28,113.0,3164.0,2008-09-30 02:26:30
16716,48530,5135,2001,20,192.0,3840.0,2008-06-24 03:32:50
16717,5191,2654,1870,9,123.0,1107.0,2008-02-13 05:58:19
16719,47846,4725,2092,6,121.0,726.0,2008-09-23 07:22:28
16720,7725,1752,1883,7,193.0,1351.0,2008-02-26 10:45:45
16721,38617,8319,2002,16,57.0,912.0,2008-06-25 08:01:34
16722,38170,7034,1894,16,180.0,2880.0,2008-03-09 09:19:46
16723,10486,4519,1993,5,180.0,900.0,2008-06-16 06:01:43
16724,44143,1569,1881,20,31.0,620.0,2008-02-24 03:25:38
16725,5709,4428,2161,6,223.0,1338.0,2008-12-01 11:21:58
16726,29282,7698,2071,6,135.0,810.0,2008-09-02 06:52:33
16727,32826,7669,1864,10,173.0,1730.0,2008-02-07 04:53:29
16728,23409,2789,1897,24,243.0,5832.0,2008-03-12 06:40:56
16729,14856,691,1841,22,192.0,4224.0,2008-01-15 01:23:06
16730,16008,2640,1842,22,121.0,2662.0,2008-01-16 10:41:20
16731,37063,5805,1988,2,178.0,356.0,2008-06-11 10:12:29
16733,14292,3961,1976,8,163.0,1304.0,2008-05-30 03:15:58
16734,20576,6978,2084,6,112.0,672.0,2008-09-15 04:49:35
16735,20446,357,2045,16,71.0,1136.0,2008-08-07 05:19:18
16736,6732,3989,2130,10,70.0,700.0,2008-10-31 09:35:00
16737,6080,8217,1981,9,73.0,657.0,2008-06-04 01:41:07
16738,42359,3506,1880,24,179.0,4296.0,2008-02-23 07:48:33
16739,22105,4951,2026,3,197.0,591.0,2008-07-19 11:24:44
16740,48854,4858,2006,2,158.0,316.0,2008-06-29 11:34:08
16741,36976,8005,2054,10,146.0,1460.0,2008-08-16 02:18:54
16742,14308,4181,2006,10,31.0,310.0,2008-06-29 08:43:24
16744,46127,6815,1873,1,43.0,43.0,2008-02-16 10:17:09
16745,40592,1814,2085,14,57.0,798.0,2008-09-16 11:37:01
16747,19685,7724,2043,3,116.0,348.0,2008-08-05 08:44:52
16749,7534,6933,2055,9,95.0,855.0,2008-08-17 02:39:05
16750,49657,5721,1903,14,62.0,868.0,2008-03-18 05:56:24
16751,713,7348,2088,2,174.0,348.0,2008-09-19 05:08:39
16752,21288,7342,1865,5,33.0,165.0,2008-02-08 02:07:39
16753,24076,634,1947,2,82.0,164.0,2008-05-01 10:42:31
16754,2524,6581,2090,1,48.0,48.0,2008-09-21 05:26:02
16755,15684,1216,1866,9,49.0,441.0,2008-02-09 04:22:00
16756,10129,2340,2045,26,179.0,4654.0,2008-08-07 11:21:27
16757,42851,2030,2123,4,106.0,424.0,2008-10-24 08:11:59
16758,49377,4299,1970,22,150.0,3300.0,2008-05-24 05:22:14
16759,46379,1623,1918,10,37.0,370.0,2008-04-02 06:36:17
16760,9174,6682,1900,4,157.0,628.0,2008-03-15 04:13:39
16761,18288,3528,1994,14,170.0,2380.0,2008-06-17 12:04:55
16762,17336,2347,1828,4,243.0,972.0,2008-01-02 03:18:35
16763,13941,158,2015,1,63.0,63.0,2008-07-08 01:52:41
16764,8419,706,1961,12,240.0,2880.0,2008-05-15 04:52:58
16765,29489,158,2061,22,62.0,1364.0,2008-08-23 03:38:49
16766,11859,7594,2104,1,105.0,105.0,2008-10-05 09:17:36
16767,24377,2700,1990,24,208.0,4992.0,2008-06-13 01:21:21
16768,12052,951,2042,7,115.0,805.0,2008-08-04 03:46:41
16769,45606,3770,1963,24,90.0,2160.0,2008-05-17 01:43:44
16770,2827,7959,2116,3,178.0,534.0,2008-10-17 04:38:24
16771,4128,7101,1966,6,117.0,702.0,2008-05-20 11:09:43
16772,43582,4521,1977,3,102.0,306.0,2008-05-31 11:29:09
16773,19349,7509,2035,16,38.0,608.0,2008-07-28 10:58:33
16774,45734,8375,1990,8,60.0,480.0,2008-06-13 12:36:10
16776,21936,7370,2073,9,236.0,2124.0,2008-09-04 03:04:39
16777,38270,6096,1849,7,103.0,721.0,2008-01-23 10:00:12
16778,3889,6448,1829,20,77.0,1540.0,2008-01-03 08:51:32
16779,6104,428,2027,16,184.0,2944.0,2008-07-20 12:16:58
16780,14562,7037,2048,28,120.0,3360.0,2008-08-10 04:44:38
16781,21531,4962,2144,20,130.0,2600.0,2008-11-14 05:56:15
16782,47734,4533,2066,26,242.0,6292.0,2008-08-28 05:44:16
16783,7918,8000,1986,18,202.0,3636.0,2008-06-09 03:49:35
16784,28965,7921,2079,2,141.0,282.0,2008-09-10 07:56:26
16785,10460,1253,2116,6,170.0,1020.0,2008-10-17 03:50:16
16786,25526,5293,1947,1,106.0,106.0,2008-05-01 12:50:47
16787,10670,8730,1943,22,84.0,1848.0,2008-04-27 03:46:52
16788,11378,2680,1899,16,131.0,2096.0,2008-03-14 08:03:15
16789,39809,8058,1987,12,223.0,2676.0,2008-06-10 12:20:15
16790,9673,547,1962,12,208.0,2496.0,2008-05-16 05:50:02
16791,19206,7566,2128,7,20.0,140.0,2008-10-29 05:36:00
16792,3901,8492,1914,9,235.0,2115.0,2008-03-29 09:00:13
16793,29392,8767,2152,9,95.0,855.0,2008-11-22 07:50:25
16794,43477,102,1894,2,152.0,304.0,2008-03-09 07:17:46
16795,17786,6220,2079,16,97.0,1552.0,2008-09-10 10:10:52
16796,10447,3095,2089,3,109.0,327.0,2008-09-20 02:18:41
16797,21517,1335,1906,1,55.0,55.0,2008-03-21 04:47:58
16798,40903,3954,2139,30,129.0,3870.0,2008-11-09 12:35:57
16799,34579,2076,1923,5,24.0,120.0,2008-04-07 05:47:44
16800,1575,1885,2066,4,66.0,264.0,2008-08-28 04:44:37
16801,1525,2075,1875,12,225.0,2700.0,2008-02-18 08:53:37
16802,14906,6349,1880,2,51.0,102.0,2008-02-23 12:07:52
16803,8873,6719,1829,22,148.0,3256.0,2008-01-03 05:03:19
16804,8938,6710,2057,8,78.0,624.0,2008-08-19 01:21:52
16805,13988,1075,2099,28,231.0,6468.0,2008-09-30 02:56:26
16806,29839,5834,2134,12,166.0,1992.0,2008-11-04 03:38:46
16807,18584,8361,1938,24,184.0,4416.0,2008-04-22 10:21:22
16808,19900,6835,1961,3,150.0,450.0,2008-05-15 05:51:31
16809,19817,3886,1871,10,96.0,960.0,2008-02-14 05:09:38
16810,20350,3163,1853,10,76.0,760.0,2008-01-27 08:22:21
16812,34561,152,2032,5,98.0,490.0,2008-07-25 05:36:14
16813,13432,3431,1852,18,151.0,2718.0,2008-01-26 03:01:34
16814,24221,7758,1910,14,47.0,658.0,2008-03-25 05:04:43
16815,35947,4923,2038,2,72.0,144.0,2008-07-31 09:06:07
16816,24959,1617,2025,26,83.0,2158.0,2008-07-18 07:53:19
16817,11001,6197,2050,28,123.0,3444.0,2008-08-12 10:01:49
16818,33447,552,1895,1,116.0,116.0,2008-03-10 10:46:57
16819,26057,6690,1927,8,22.0,176.0,2008-04-11 05:35:55
16820,45724,5317,1882,5,38.0,190.0,2008-02-25 10:28:19
16821,46100,6975,1881,8,140.0,1120.0,2008-02-24 01:46:55
16823,4172,7166,2158,10,53.0,530.0,2008-11-28 12:20:58
16824,14380,636,1849,24,176.0,4224.0,2008-01-23 01:29:29
16825,49238,6349,1883,14,131.0,1834.0,2008-02-26 03:00:40
16826,41337,645,1912,10,129.0,1290.0,2008-03-27 09:35:11
16827,49523,2536,1993,7,208.0,1456.0,2008-06-16 09:33:26
16828,49050,4728,1834,14,189.0,2646.0,2008-01-08 12:23:01
16829,27151,7900,2083,26,57.0,1482.0,2008-09-14 07:30:25
16830,39809,4379,1901,30,48.0,1440.0,2008-03-16 10:38:31
16831,2424,3260,2187,14,110.0,1540.0,2008-12-27 12:47:07
16833,11332,8684,2013,22,178.0,3916.0,2008-07-06 12:18:54
16834,14287,7869,1888,10,142.0,1420.0,2008-03-03 05:51:01
16835,8121,5008,1882,12,165.0,1980.0,2008-02-25 09:46:59
16836,15419,3044,1834,30,30.0,900.0,2008-01-08 10:39:22
16837,7257,5749,1975,2,47.0,94.0,2008-05-29 02:24:40
16840,13475,7005,1858,3,191.0,573.0,2008-02-01 03:22:13
16841,9508,6214,1949,4,147.0,588.0,2008-05-03 07:53:05
16842,28960,3549,1894,18,225.0,4050.0,2008-03-09 07:01:44
16843,2000,6398,1937,10,77.0,770.0,2008-04-21 09:27:22
16845,8623,7658,1890,30,171.0,5130.0,2008-03-05 12:13:15
16847,6470,6690,1977,22,119.0,2618.0,2008-05-31 09:09:25
16848,49213,3071,1953,4,114.0,456.0,2008-05-07 02:48:38
16850,33229,3980,1971,4,89.0,356.0,2008-05-25 12:10:41
16851,41257,8441,2030,6,161.0,966.0,2008-07-23 03:18:05
16852,23746,6227,1967,28,183.0,5124.0,2008-05-21 08:44:04
16853,42577,8387,1899,14,82.0,1148.0,2008-03-14 05:07:27
16854,7445,3728,2025,16,51.0,816.0,2008-07-18 06:25:53
16855,33711,6238,1910,12,159.0,1908.0,2008-03-25 02:42:38
16856,32852,5905,1986,26,42.0,1092.0,2008-06-09 08:52:18
16857,44630,5700,2026,8,228.0,1824.0,2008-07-19 11:52:40
16858,43438,2746,1867,26,163.0,4238.0,2008-02-10 11:39:37
16859,26341,1791,1885,6,52.0,312.0,2008-02-28 01:52:47
16860,27152,6588,1860,26,38.0,988.0,2008-02-03 05:30:34
16861,38761,5445,1950,1,212.0,212.0,2008-05-04 02:04:16
16862,26634,1221,1829,12,24.0,288.0,2008-01-03 01:37:09
16863,16623,5772,2007,12,160.0,1920.0,2008-06-30 11:58:43
16864,9130,3067,2022,28,155.0,4340.0,2008-07-15 01:50:53
16865,46368,5247,2097,26,130.0,3380.0,2008-09-28 03:49:56
16866,35861,3621,2087,5,202.0,1010.0,2008-09-18 04:56:30
16867,17025,267,1845,1,244.0,244.0,2008-01-19 01:29:45
16870,20008,4292,1917,22,122.0,2684.0,2008-04-01 07:21:00
16871,12484,7811,1914,26,188.0,4888.0,2008-03-29 05:45:49
16872,39693,1390,2115,24,20.0,480.0,2008-10-16 09:27:48
16873,40407,2301,2095,28,235.0,6580.0,2008-09-26 02:17:46
16874,34793,8326,1953,4,89.0,356.0,2008-05-07 04:20:39
16875,42457,1420,2048,3,44.0,132.0,2008-08-10 05:46:40
16876,391,4407,1946,5,50.0,250.0,2008-04-30 08:12:23
16877,35831,5391,1888,9,91.0,819.0,2008-03-03 02:49:42
16878,350,2356,2050,2,123.0,246.0,2008-08-12 08:06:49
16879,37602,6005,1872,7,172.0,1204.0,2008-02-15 09:37:05
16880,34657,7132,1957,24,237.0,5688.0,2008-05-11 09:26:41
16881,23340,2676,1839,6,53.0,318.0,2008-01-13 05:25:44
16882,19006,4768,1960,20,208.0,4160.0,2008-05-14 04:20:34
16883,49049,7271,1828,20,84.0,1680.0,2008-01-02 04:17:58
16884,19287,1791,1907,1,169.0,169.0,2008-03-22 12:43:56
16885,36239,1256,2152,20,113.0,2260.0,2008-11-22 05:28:54
16886,2325,7496,1960,26,163.0,4238.0,2008-05-14 10:36:39
16887,39999,2828,2028,12,150.0,1800.0,2008-07-21 12:51:20
16888,46700,7791,1993,30,186.0,5580.0,2008-06-16 07:01:52
16890,21718,2237,1879,7,203.0,1421.0,2008-02-22 02:42:03
16891,5483,866,1869,4,111.0,444.0,2008-02-12 10:49:31
16892,37475,6407,1980,12,35.0,420.0,2008-06-03 01:45:53
16893,30919,7514,1847,7,60.0,420.0,2008-01-21 04:05:45
16894,8394,8135,1958,24,48.0,1152.0,2008-05-12 03:28:33
16896,932,5352,2073,4,56.0,224.0,2008-09-04 11:23:04
16897,26983,407,2116,3,108.0,324.0,2008-10-17 07:18:58
16898,46376,8740,2074,4,208.0,832.0,2008-09-05 01:18:46
16899,23098,2672,1912,7,232.0,1624.0,2008-03-27 06:01:32
16900,42840,8147,2136,18,32.0,576.0,2008-11-06 07:32:51
16901,5944,816,2147,8,50.0,400.0,2008-11-17 08:33:02
16902,40238,5374,1926,6,57.0,342.0,2008-04-10 12:13:35
16903,47530,344,1971,22,40.0,880.0,2008-05-25 06:19:33
16904,35266,8352,1880,5,82.0,410.0,2008-02-23 01:26:41
16906,1648,8410,2157,4,134.0,536.0,2008-11-27 09:38:55
16907,18318,6839,1957,6,189.0,1134.0,2008-05-11 08:19:32
16908,46282,1026,1885,1,216.0,216.0,2008-02-28 12:41:46
16909,40346,7896,2025,20,128.0,2560.0,2008-07-18 09:22:29
16910,39900,2653,1889,2,218.0,436.0,2008-03-04 04:13:14
16911,10835,2947,2168,24,121.0,2904.0,2008-12-08 02:06:03
16912,8776,88,1989,2,121.0,242.0,2008-06-12 01:37:00
16913,35678,6913,2000,9,245.0,2205.0,2008-06-23 02:09:39
16914,30081,961,1901,30,71.0,2130.0,2008-03-16 07:51:48
16915,32831,5850,2090,1,70.0,70.0,2008-09-21 08:48:47
16916,6338,2636,2122,12,39.0,468.0,2008-10-23 07:25:37
16917,17480,362,2139,16,217.0,3472.0,2008-11-09 03:18:03
16918,34031,608,1909,18,117.0,2106.0,2008-03-24 02:07:09
16919,6135,7898,2059,6,87.0,522.0,2008-08-21 08:05:44
16920,29015,3455,2051,22,119.0,2618.0,2008-08-13 05:09:01
16921,44817,4280,2154,9,29.0,261.0,2008-11-24 05:19:30
16922,32305,2633,1899,16,111.0,1776.0,2008-03-14 03:41:24
16923,25852,4127,1931,6,142.0,852.0,2008-04-15 03:46:50
16924,16602,4,2063,28,225.0,6300.0,2008-08-25 10:41:13
16925,39965,5298,1885,1,131.0,131.0,2008-02-28 05:57:08
16927,44503,6835,1959,16,20.0,320.0,2008-05-13 10:10:50
16928,14285,2270,2163,4,62.0,248.0,2008-12-03 02:55:47
16929,9002,3108,1990,4,94.0,376.0,2008-06-13 12:17:11
16930,2788,2956,1974,1,75.0,75.0,2008-05-28 03:30:32
16931,44641,7702,1981,14,42.0,588.0,2008-06-04 04:27:35
16932,44427,3718,1834,14,203.0,2842.0,2008-01-08 01:59:23
16933,47448,4923,2017,30,154.0,4620.0,2008-07-10 02:30:47
16934,283,8666,1869,26,212.0,5512.0,2008-02-12 04:27:17
16935,9793,2019,1974,22,166.0,3652.0,2008-05-28 08:09:53
16936,7099,7814,1968,14,83.0,1162.0,2008-05-22 04:59:26
16937,13333,4876,2013,6,78.0,468.0,2008-07-06 07:53:05
16938,16607,2056,1892,6,72.0,432.0,2008-03-07 06:50:18
16939,20687,6885,2140,18,80.0,1440.0,2008-11-10 12:07:57
16941,5912,6523,1974,30,183.0,5490.0,2008-05-28 12:51:35
16942,38634,7594,2083,18,42.0,756.0,2008-09-14 03:56:52
16943,30967,3412,2040,20,228.0,4560.0,2008-08-02 12:59:52
16944,5457,1515,2162,28,30.0,840.0,2008-12-02 04:54:21
16945,29906,6554,2087,9,133.0,1197.0,2008-09-18 05:02:48
16946,35545,2548,1945,6,141.0,846.0,2008-04-29 06:03:53
16947,18950,1646,1967,2,223.0,446.0,2008-05-21 11:39:27
16949,47150,6743,1996,20,21.0,420.0,2008-06-19 09:41:13
16950,33388,7619,1978,1,217.0,217.0,2008-06-01 01:35:04
16951,32347,5037,1937,10,69.0,690.0,2008-04-21 04:29:53
16952,37640,4251,1851,20,203.0,4060.0,2008-01-25 04:04:22
16953,59,1462,2039,14,184.0,2576.0,2008-08-01 06:03:23
16954,35120,8218,2063,1,126.0,126.0,2008-08-25 08:45:03
16955,18022,1052,2151,1,67.0,67.0,2008-11-21 06:41:51
16956,1919,381,1957,5,171.0,855.0,2008-05-11 01:16:05
16957,29588,5646,1834,8,209.0,1672.0,2008-01-08 05:55:34
16958,43214,7386,2011,1,200.0,200.0,2008-07-04 01:58:58
16959,15892,1144,1889,8,101.0,808.0,2008-03-04 03:57:18
16960,12541,6008,2036,12,132.0,1584.0,2008-07-29 05:45:18
16961,20713,911,1890,1,163.0,163.0,2008-03-05 10:15:43
16963,3733,7027,2032,20,68.0,1360.0,2008-07-25 11:16:37
16964,46661,1186,1918,3,64.0,192.0,2008-04-02 10:54:19
16965,5501,4858,1999,28,78.0,2184.0,2008-06-22 10:10:47
16966,10237,2282,1974,9,199.0,1791.0,2008-05-28 08:31:56
16967,39548,927,1959,28,104.0,2912.0,2008-05-13 10:33:48
16968,15542,3820,1851,30,234.0,7020.0,2008-01-25 11:55:03
16969,39385,6436,1959,28,194.0,5432.0,2008-05-13 09:28:53
16970,40601,4981,1836,6,119.0,714.0,2008-01-10 08:19:03
16971,28009,8281,1976,5,215.0,1075.0,2008-05-30 12:23:47
16972,30921,4682,2088,10,233.0,2330.0,2008-09-19 07:45:07
16973,30727,1568,2142,12,140.0,1680.0,2008-11-12 12:42:10
16974,8927,6924,2164,1,63.0,63.0,2008-12-04 10:49:23
16975,25092,2779,1972,20,34.0,680.0,2008-05-26 12:15:26
16976,3045,42,1850,2,174.0,348.0,2008-01-24 04:47:11
16977,37571,8014,1877,7,35.0,245.0,2008-02-20 06:59:38
16978,40046,4001,2082,22,99.0,2178.0,2008-09-13 03:54:21
16979,36100,667,2035,10,122.0,1220.0,2008-07-28 11:46:12
16980,33850,2615,1880,18,33.0,594.0,2008-02-23 07:56:24
16981,38786,8641,1993,12,219.0,2628.0,2008-06-16 04:25:15
16982,31976,4751,2128,30,194.0,5820.0,2008-10-29 07:58:45
16983,33854,7400,1841,2,133.0,266.0,2008-01-15 12:39:16
16984,15407,5739,1849,22,157.0,3454.0,2008-01-23 05:54:14
16985,24192,3699,1858,16,31.0,496.0,2008-02-01 02:16:16
16986,44503,3492,1989,2,206.0,412.0,2008-06-12 11:02:07
16987,804,963,2072,12,150.0,1800.0,2008-09-03 05:49:14
16988,16395,1681,1972,8,117.0,936.0,2008-05-26 06:38:23
16989,8849,8383,1951,6,87.0,522.0,2008-05-05 06:39:52
16990,5460,5745,1890,3,89.0,267.0,2008-03-05 04:31:56
16991,29492,2965,2072,20,229.0,4580.0,2008-09-03 01:34:33
16992,48682,2982,2033,24,171.0,4104.0,2008-07-26 07:38:25
16993,25675,8234,1882,28,86.0,2408.0,2008-02-25 10:13:18
16994,14537,5251,2145,12,136.0,1632.0,2008-11-15 03:50:03
16996,2530,812,2038,24,150.0,3600.0,2008-07-31 08:18:32
16997,29145,1194,2056,16,112.0,1792.0,2008-08-18 03:01:31
16998,49355,5748,1975,9,38.0,342.0,2008-05-29 09:07:49
16999,18802,3147,1934,24,105.0,2520.0,2008-04-18 08:56:17
17000,42896,6796,1964,3,212.0,636.0,2008-05-18 12:47:10
17001,4258,7519,1931,22,174.0,3828.0,2008-04-15 03:37:01
17002,29143,8673,1854,18,216.0,3888.0,2008-01-28 10:47:40
17003,27430,7336,1905,30,49.0,1470.0,2008-03-20 07:02:07
17004,38007,4144,2142,24,230.0,5520.0,2008-11-12 04:30:38
17005,28608,559,1833,6,223.0,1338.0,2008-01-07 02:07:36
17006,21866,8189,1982,9,41.0,369.0,2008-06-05 05:37:23
17007,39219,1633,1936,9,213.0,1917.0,2008-04-20 01:55:49
17008,28250,7791,1958,22,157.0,3454.0,2008-05-12 09:37:05
17009,20875,4822,2140,5,87.0,435.0,2008-11-10 06:10:36
17010,12655,2023,1838,7,27.0,189.0,2008-01-12 08:11:00
17011,786,3647,1969,4,139.0,556.0,2008-05-23 04:33:36
17012,7449,2408,1879,24,210.0,5040.0,2008-02-22 03:10:41
17013,17563,6507,2024,4,204.0,816.0,2008-07-17 11:48:51
17014,9088,7315,1953,10,55.0,550.0,2008-05-07 08:54:19
17015,15760,7536,1976,12,238.0,2856.0,2008-05-30 11:07:37
17016,4950,1650,2041,1,116.0,116.0,2008-08-03 06:26:19
17017,13668,633,1859,24,93.0,2232.0,2008-02-02 07:19:10
17018,20777,5014,2002,20,73.0,1460.0,2008-06-25 12:33:09
17019,12917,401,2093,9,28.0,252.0,2008-09-24 05:26:38
17020,45076,439,2115,20,40.0,800.0,2008-10-16 06:25:13
17021,12619,1761,2031,1,53.0,53.0,2008-07-24 02:24:52
17022,39742,7505,1973,6,112.0,672.0,2008-05-27 09:55:53
17023,8272,3528,1994,12,139.0,1668.0,2008-06-17 09:42:15
17024,21044,2188,1915,2,167.0,334.0,2008-03-30 01:47:45
17025,38366,3899,2037,30,170.0,5100.0,2008-07-30 12:12:17
17026,25400,2934,2037,26,102.0,2652.0,2008-07-30 04:30:39
17027,25531,4191,2006,28,127.0,3556.0,2008-06-29 08:22:40
17028,29403,8335,1940,18,127.0,2286.0,2008-04-24 11:02:35
17029,17608,1716,2080,16,248.0,3968.0,2008-09-11 12:01:13
17030,3237,3502,1854,30,137.0,4110.0,2008-01-28 07:49:32
17031,7913,1450,1977,28,48.0,1344.0,2008-05-31 12:47:08
17032,43125,5575,2086,16,21.0,336.0,2008-09-17 02:28:05
17033,13398,5222,1890,16,95.0,1520.0,2008-03-05 11:34:30
17034,33206,2753,2088,2,195.0,390.0,2008-09-19 03:39:00
17035,38418,3511,2129,5,232.0,1160.0,2008-10-30 12:45:44
17036,20610,6112,1997,1,84.0,84.0,2008-06-20 11:52:55
17037,29929,3565,1978,9,154.0,1386.0,2008-06-01 05:31:36
17038,49625,6944,1917,2,203.0,406.0,2008-04-01 02:33:23
17039,16706,3502,1832,22,248.0,5456.0,2008-01-06 07:59:52
17040,46588,8648,2059,2,152.0,304.0,2008-08-21 11:09:09
17041,9806,516,2141,10,193.0,1930.0,2008-11-11 08:10:53
17042,18148,5370,2050,30,148.0,4440.0,2008-08-12 11:22:06
17043,8237,2691,2139,22,40.0,880.0,2008-11-09 12:31:30
17044,31064,4983,1909,16,129.0,2064.0,2008-03-24 01:06:46
17045,31838,2952,1966,22,69.0,1518.0,2008-05-20 04:30:54
17046,4673,1570,2050,30,92.0,2760.0,2008-08-12 05:46:48
17047,15114,5235,2024,10,83.0,830.0,2008-07-17 07:31:43
17048,47616,3977,1935,12,85.0,1020.0,2008-04-19 08:50:44
17049,10808,7191,2128,24,136.0,3264.0,2008-10-29 08:59:46
17051,20480,4411,2084,20,68.0,1360.0,2008-09-15 10:56:23
17052,192,121,2055,24,177.0,4248.0,2008-08-17 08:28:53
17053,5995,6070,1902,3,100.0,300.0,2008-03-17 04:29:23
17054,17621,3719,1947,14,93.0,1302.0,2008-05-01 09:35:25
